train,test,rank_mode,zscore_filter,rsi_filter,chosen_bottom_n,train_sharpe_net,test_sharpe_net,test_ann_ret_net,test_ann_vol_net,test_days,test_turnover
2015-2019,2020-2020,zscore,,15.0,50,0.3433032169241277,0.8372998931561767,0.5105986492517909,0.6098157343924944,248,0.303332902047829
2016-2020,2021-2021,zscore,,15.0,50,0.6630320662051535,1.756243448125144,0.43567741750532607,0.24807347635683885,246,0.29818922515992213
2017-2021,2022-2022,zscore,,15.0,50,0.8807194600038246,0.7429940060478644,0.3139681877914313,0.4225716294287376,245,0.3003790710125297
2018-2022,2023-2023,zscore,,15.0,50,0.8799951672377573,2.770385416900121,0.6245907119108532,0.22545264211278196,245,0.2994871496231303
2019-2023,2024-2024,zscore,,15.0,20,1.1369936600664663,2.8754018416347016,0.7728997943034259,0.26879714101595725,247,0.31796578030330436
2020-2024,2025-2025,zscore,,15.0,50,1.3825888982454382,1.440455011800102,0.4022474353210985,0.27925025913750656,213,0.2946121059069407
