train,test,rank_mode,zscore_filter,rsi_filter,chosen_bottom_n,train_sharpe_net,test_sharpe_net,test_ann_ret_net,test_ann_vol_net,test_days,test_turnover_proxy
2015-2019,2020-2020,zscore,-1.5,,5,-0.617352151486576,-0.06122153580282481,-0.04482001679784775,0.7320955969186864,226,0.9686490455212922
2016-2020,2021-2021,zscore,-1.5,,30,0.14241926326152518,-0.34076758658940404,-0.10228980711582586,0.3001746971876066,238,0.9464901218425658
2017-2021,2022-2022,zscore,-1.5,,20,0.05637123677324798,-1.5707259385996997,-0.6172984181729447,0.3930019890823638,227,0.9606817380638059
2018-2022,2023-2023,zscore,-1.5,,20,-0.051337932948007446,1.159554260852623,0.3511095418610275,0.3027969916671738,231,0.961739783034955
2019-2023,2024-2024,zscore,-1.5,,20,0.13917097509605536,2.9325596473826385,1.3694684672122281,0.4669874211883476,243,0.9639968490915999
2020-2024,2025-2025,zscore,-1.5,,20,0.7102528380912243,-1.8758062811312073,-0.4405010123521401,0.23483289121225007,208,0.9635952548972679
