train,test,rank_mode,zscore_filter,rsi_filter,chosen_bottom_n,train_sharpe_net,test_sharpe_net,test_ann_ret_net,test_ann_vol_net,test_days,test_turnover
2015-2019,2020-2020,rsi,-1.0,,5,1.248000862032484,1.429719562989277,0.988313504461697,0.6912638884197106,248,0.3003360215053764
2016-2020,2021-2021,rsi,-1.0,,5,1.4485437312770684,2.888270698885893,0.8874475541292294,0.30725913414956185,246,0.30514905149051497
2017-2021,2022-2022,rsi,-1.0,,10,1.4525571494536862,2.7513863831265817,1.130687208115694,0.4109518078049146,246,0.3002398158902224
2018-2022,2023-2023,rsi,-1.0,,10,1.9600723373627649,2.8530048603594547,0.7186366214066454,0.25188762605756765,245,0.30235341755749917
2019-2023,2024-2024,rsi,-1.0,,10,2.171542339116545,2.6134654424608224,0.8170805331632675,0.31264256258690365,247,0.3065414604888289
2020-2024,2025-2025,rsi,-1.0,,10,2.185219806675132,1.4103534699975768,0.40893046022172796,0.2899489162971539,214,0.30352630668051234
