date,port_net
2015-11-30,-0.0015736622179047782
2015-12-01,-0.009892606892224255
2015-12-02,-0.015996085859428435
2015-12-03,-0.012470776766223277
2015-12-04,-0.022092761850642496
2015-12-07,-0.006191834161845664
2015-12-08,-0.012305594105031849
2015-12-09,-0.009036998987834622
2015-12-10,-0.017438258943499218
2015-12-11,0.002874104995543839
2015-12-14,0.01890815061911454
2015-12-15,0.01645440132759019
2015-12-16,0.010631834631251112
2015-12-17,0.0009486987031584196
2015-12-18,0.025514463521247047
2015-12-21,0.028648091863080132
2015-12-22,0.0315160837352262
2015-12-23,0.008402029128009617
2015-12-24,-0.007123492781477811
2015-12-28,0.0029676387440568915
2015-12-29,0.008539304452647828
2015-12-30,0.006532202028790414
2015-12-31,-0.009949865494734306
2016-01-04,-0.029122113033778693
2016-01-05,-0.04278639502328522
2016-01-06,-0.052946994872237654
2016-01-07,-0.04091318765081317
2016-01-08,-0.02547824919762475
2016-01-11,-0.011074764939994595
2016-01-12,-0.021262305085012145
2016-01-13,-0.02127831667114399
2016-01-14,-0.034531100214636595
2016-01-15,-0.0232010659824306
2016-01-19,-0.010764707826350748
2016-01-20,0.010601916519520424
2016-01-21,0.012987936028957894
2016-01-22,0.009812560441871803
2016-01-25,0.015470037300377444
2016-01-26,0.01502308635922506
2016-01-27,0.025530769074705844
2016-01-28,0.02143113789411131
2016-01-29,0.015725705547559914
2016-02-01,-0.01978010052592811
2016-02-02,-0.025651728300310057
2016-02-03,-0.040866017575338365
2016-02-04,-0.027992258092819623
2016-02-05,-0.030870749720937986
2016-02-08,-0.009462441612017562
2016-02-09,0.008029695476882504
2016-02-10,0.01943288469283149
2016-02-11,0.04452343883701706
2016-02-12,0.050100289144402906
2016-02-16,0.026129505278594867
2016-02-17,-0.0049564783355585925
2016-02-18,-0.02195372706948178
2016-02-19,0.0025835850892418346
2016-02-22,0.01060601156261315
2016-02-23,0.01811680872647082
2016-02-24,0.015530883811215545
2016-02-25,0.05023352057368305
2016-02-26,0.04629619089754783
2016-02-29,0.05101887562032446
2016-03-01,0.022377170515731556
2016-03-02,0.01993942206653524
2016-03-03,0.020241199994795296
2016-03-04,0.012924597474621108
2016-03-07,0.015719266477306107
2016-03-08,0.01647608305121815
2016-03-09,0.02871079625787773
2016-03-10,0.028135000023950828
2016-03-11,0.010307889888545734
2016-03-14,-0.01404985877563086
2016-03-15,-0.014055880261590778
2016-03-16,-0.003155972519017315
