date,symbol,zscore_5,rsi_2,fwd_ret_3,score,rank
2015-11-25,ALL,-1.588653699706977,0.0,0.017139195899407378,-1.588653699706977,4.0
2015-11-25,BA,-1.4987622914235983,11.607142857142875,0.002102692803364281,-1.4987622914235983,6.0
2015-11-25,DOW,-1.735450106526647,10.98265895953763,0.028890600924499132,-1.735450106526647,1.0
2015-11-25,EQT,-1.463178566663191,16.84867394695779,-0.014433367217441262,-1.463178566663191,7.0
2015-11-25,FDX,-1.452351732737024,15.339805825242706,-0.012007389162561721,-1.452351732737024,10.0
2015-11-25,HPQ,-1.632583048330692,13.606911447084244,0.007911392405063333,-1.632583048330692,2.0
2015-11-25,MSFT,-1.5404952707171082,14.17624521072807,0.028496926802011657,-1.5404952707171082,5.0
2015-11-25,NI,-1.6296434287653323,5.504587155963208,0.013061650992685525,-1.6296434287653323,3.0
2015-11-25,TEL,-1.4627514063617455,15.757575757575635,0.012279125486672537,-1.4627514063617455,8.0
2015-11-25,V,-1.4596207303376707,2.38095238095191,0.004399195575666148,-1.4596207303376707,9.0
2015-11-27,BWA,-1.5211426146997522,28.9389067524116,0.0,-1.5211426146997522,6.0
2015-11-27,CRM,-1.3673155222923976,8.704453441295186,0.011379267225209322,-1.3673155222923976,9.0
2015-11-27,DIS,-1.6274674581920356,11.728907330567068,-0.009814991748458235,-1.6274674581920356,3.0
2015-11-27,EQT,-1.4492547567257226,9.08424908424901,-0.05173108921029046,-1.4492547567257226,7.0
2015-11-27,FOXA,-1.6284384187036482,9.014084507042,-0.007786052809749533,-1.6284384187036482,2.0
2015-11-27,GLW,-1.6716779802910908,5.970149253730966,-0.0010660980810236476,-1.6716779802910908,1.0
2015-11-27,HOG,-1.548843027485647,12.192723697148368,-0.02216293864149388,-1.548843027485647,5.0
2015-11-27,LVS,-1.612210090759696,1.8333333333333144,0.019404332129963953,-1.612210090759696,4.0
2015-11-27,PGR,-1.3519793272331575,10.0000000000001,-0.009318766066838124,-1.3519793272331575,10.0
2015-11-27,QCOM,-1.408561128287253,24.955856386109343,0.06819118252987222,-1.408561128287253,8.0
2015-11-30,BMY,-1.733396643351581,11.801242236025018,-0.008356961647515315,-1.733396643351581,8.0
2015-11-30,CAG,-1.7760421918888396,9.885931558935397,-0.022721720009772794,-1.7760421918888396,4.0
2015-11-30,F,-1.781642199499863,0.8720930232557862,-0.02442428471737612,-1.781642199499863,3.0
2015-11-30,FDX,-1.7201622298828516,13.31534381687908,-0.030970102182414472,-1.7201622298828516,10.0
2015-11-30,LULU,-1.7841260667491368,7.445805843543852,0.02718527812630689,-1.7841260667491368,1.0
2015-11-30,MDT,-1.7830112122153776,4.147465437788043,0.01765330501725515,-1.7830112122153776,2.0
2015-11-30,ORLY,-1.763256380000486,5.809631861038312,-0.03979239737824947,-1.763256380000486,5.0
2015-11-30,TSCO,-1.7458881934146393,12.72539927872232,-0.041298265249020694,-1.7458881934146393,7.0
2015-11-30,ULTA,-1.7520383190917388,16.64997496244351,-0.02281437125748509,-1.7520383190917388,6.0
2015-11-30,VLO,-1.7221247179414825,11.599999999999682,-0.02602282215418872,-1.7221247179414825,9.0
2015-12-01,AAPL,-1.2785758010214958,22.101977107179977,0.014402590761888545,-1.2785758010214958,8.0
2015-12-01,CAG,-1.1423166918556542,9.009009009009048,0.0063585228662264015,-1.1423166918556542,10.0
2015-12-01,EMR,-1.5988051844785465,6.615214994487161,-0.009068923821039854,-1.5988051844785465,4.0
2015-12-01,FIG,-1.585860107310082,3.0252100840336027,-0.03183520599250933,-1.585860107310082,5.0
2015-12-01,IP,-1.6951394748276358,12.52644942869236,-0.024017467248908297,-1.6951394748276358,3.0
2015-12-01,ORLY,-1.351201222463677,3.537651571098479,-0.014180585177857807,-1.351201222463677,6.0
2015-12-01,SJM,-1.1808329140557128,13.220338983050937,0.019286482907044045,-1.1808329140557128,9.0
2015-12-01,SQQQ,-1.7194419891709392,12.89571694599627,-0.004537719795802642,-1.7194419891709392,1.0
2015-12-01,ULTA,-1.314403870711213,11.3365155131264,0.11005246336609775,-1.314403870711213,7.0
2015-12-01,UVXY,-1.716983955436838,4.499540863177231,0.005275974025974017,-1.716983955436838,2.0
2015-12-02,BK,-1.757552116419429,10.402042118697636,0.002299379167624682,-1.757552116419429,2.0
2015-12-02,CHRW,-1.7266875166025304,6.315724359767359,-0.023592324630386963,-1.7266875166025304,7.0
2015-12-02,CNP,-1.7311111017460952,5.289492494638964,-0.011445783132530196,-1.7311111017460952,5.0
2015-12-02,D,-1.7727787769428311,3.071593533487075,0.0,-1.7727787769428311,1.0
2015-12-02,EIX,-1.70529492441472,4.653061224489818,0.02335094596897891,-1.70529492441472,9.0
2015-12-02,EQT,-1.7252947840986652,2.605051414087143,-0.024983718740826055,-1.7252947840986652,8.0
2015-12-02,GM,-1.7288521883894277,7.796101949025072,0.011195074167366537,-1.7288521883894277,6.0
2015-12-02,HPQ,-1.7412038674912549,11.334714412548138,0.01673640167364021,-1.7412038674912549,3.0
2015-12-02,UNP,-1.7355225077480805,8.184143222506435,-0.05835769980506811,-1.7355225077480805,4.0
2015-12-02,XOM,-1.704006948018024,10.49274344569288,-0.034569453174104314,-1.704006948018024,10.0
2015-12-03,CDNS,-1.7774414375925431,2.892918825561324,0.013195098963242335,-1.7774414375925431,3.0
2015-12-03,DD,-1.752141679663606,4.029176797499119,0.005586592178770999,-1.752141679663606,7.0
2015-12-03,GLW,-1.782619092382724,2.362762857367869,0.0,-1.782619092382724,1.0
