date,port_net
2015-11-30,-0.005086134885869218
2015-12-01,-0.009432837418972983
2015-12-02,-0.011663524944313518
2015-12-03,-0.008254520941685562
2015-12-04,-0.018044250033442216
2015-12-07,-0.00994242388334457
2015-12-08,-0.01606443617143279
2015-12-09,-0.013803903240502622
2015-12-10,-0.01644340048582579
2015-12-11,0.0022259475042506437
2015-12-14,0.017056291239833692
2015-12-15,0.014679695776664854
2015-12-16,0.00369780757375137
2015-12-17,0.00040579931803013736
2015-12-18,0.017509395492353808
2015-12-21,0.02612312325752227
2015-12-22,0.025227214994945787
2015-12-23,0.0055915416608691695
2015-12-24,-0.004735907513652549
2015-12-28,-0.0031189214668957406
2015-12-29,0.013174176324345532
2015-12-30,0.00890448800014136
2015-12-31,-0.003934859551028577
2016-01-04,-0.02643925867754741
2016-01-05,-0.043452050323069695
2016-01-06,-0.048825697770334284
2016-01-07,-0.03865996475550845
2016-01-08,-0.022772401748120976
2016-01-11,-0.009673673082614681
2016-01-12,-0.02037261934742638
2016-01-13,-0.021378439246844228
2016-01-14,-0.034003518075956626
2016-01-15,-0.023537639504090407
2016-01-19,-0.01018538400234946
2016-01-20,0.006906515689511843
2016-01-21,0.013346166996972258
2016-01-22,0.00832847208948497
2016-01-25,0.01127211250407365
2016-01-26,0.006590576213357877
2016-01-27,0.021627216426863098
2016-01-28,0.018241694438066985
2016-01-29,0.019386719067739193
2016-02-01,0.006122136053073454
2016-02-02,-0.000403380566968497
2016-02-03,-0.022660257765252028
2016-02-04,-0.0332044735635041
2016-02-05,-0.03289682294779193
2016-02-08,-0.009867017150033913
2016-02-09,0.006033909808099807
2016-02-10,0.02321229468090075
2016-02-11,0.04824890024608458
2016-02-12,0.050325255993769684
2016-02-16,0.03874651351194129
2016-02-17,-0.004134869702532845
2016-02-18,-0.015309084871756739
2016-02-19,-0.0063153595890459106
2016-02-22,0.01168857861102579
2016-02-23,0.01880405357504502
2016-02-24,0.012225621466610865
2016-02-25,0.02945574054539935
2016-02-26,0.03157087932625478
2016-02-29,0.03550320120523359
2016-03-01,0.020323904017726286
2016-03-02,0.01228123631154351
2016-03-03,0.0062883462851566155
2016-03-04,0.00019962792020347707
2016-03-07,-0.0016753328442191046
2016-03-08,0.00842218682160547
2016-03-09,0.01806779343568872
2016-03-10,0.022502808698687482
2016-03-11,0.004338209032908549
2016-03-14,-0.008923680960993191
2016-03-15,-0.008393453876396758
2016-03-16,0.0021984057272001483
2016-03-17,0.012838537295279728
2016-03-18,0.010817908471839277
2016-03-21,0.004139568328439278
2016-03-22,-0.001226590689998465
2016-03-23,0.002341648708959371
2016-03-24,0.010568269061987148
2016-03-28,0.01557312885191205
2016-03-29,0.011883578244036398
2016-03-30,0.004541145784250725
2016-03-31,-0.0014455809452908717
2016-04-01,-0.00407480823369673
2016-04-04,-0.005158789261726902
2016-04-05,-0.003325376122406742
2016-04-06,-0.004951058814940936
2016-04-07,0.0001343548736279746
2016-04-08,0.006492842600850489
2016-04-11,0.016416561502004642
2016-04-12,0.018098298090140352
2016-04-13,0.00923939053514014
2016-04-14,0.004313161856423823
2016-04-15,-0.0038833745825684655
2016-04-18,0.0015146552093408556
2016-04-19,0.007504390291120001
2016-04-20,0.008222465474911199
2016-04-21,0.007308386219394275
2016-04-22,-0.0014120695768907125
2016-04-25,-0.0023582379728690653
2016-04-26,-0.014217493496356088
2016-04-27,-0.014366368604701222
2016-04-28,-0.012658222179177087
2016-04-29,-0.006188359569419694
2016-05-02,-0.00971614278320773
2016-05-03,-0.011394929481517217
2016-05-04,-0.01171989555746156
2016-05-05,-0.004228302223182618
2016-05-06,-1.1676936621287759e-05
2016-05-09,0.0035068072567183643
2016-05-10,-0.003179636579527456
2016-05-11,-0.005452885746336139
2016-05-12,-0.00494252541332878
2016-05-13,0.0018116043785791477
2016-05-16,0.0025494725667304144
2016-05-17,0.0010952656198502438
2016-05-18,-0.0016959512969373684
2016-05-19,0.006338253987980382
2016-05-20,0.008146807934599813
2016-05-23,0.011518438148033707
2016-05-24,0.002505082995590699
2016-05-25,0.0017668285203450299
2016-05-26,-0.0026412048273459993
2016-05-27,0.0010117597836721932
2016-05-31,0.0014646384850061259
2016-06-01,0.00365395000412337
2016-06-02,0.0065295845788915985
2016-06-03,0.008236161503083574
2016-06-06,0.007372616514020193
2016-06-07,0.0025454480844353733
2016-06-08,-0.010598107849525206
2016-06-09,-0.023264104008727263
2016-06-10,-0.028035921143490173
2016-06-13,-0.01958165161984191
2016-06-14,-0.004358218816800669
2016-06-15,0.004818003660565819
2016-06-16,0.009902387773477683
2016-06-17,0.008152914848708122
2016-06-20,0.005320397063166308
2016-06-21,0.003175930222093734
2016-06-22,-0.01107917443358096
2016-06-23,0.0009794367428019308
2016-06-24,0.0013490028449538883
2016-06-27,0.03237942427881214
2016-06-28,0.03384719414283226
2016-06-29,0.017337434267721774
2016-06-30,-0.011925557814546262
2016-07-01,-0.03802894295505059
2016-07-05,-0.011112132787376784
2016-07-06,0.010884666946088209
2016-07-07,0.025700814408258863
2016-07-08,0.008906165133118397
2016-07-11,0.0006106642721649053
2016-07-12,-0.001437389412560485
2016-07-13,0.000810418039214491
2016-07-14,-0.0006743038824702942
2016-07-15,0.0016707454578692594
2016-07-18,0.0013072331886664914
2016-07-19,0.002331865807167131
2016-07-20,-0.001933578919107201
2016-07-21,0.00015509292113163018
2016-07-22,-0.0029085417315640114
2016-07-25,-0.0006346090759507694
2016-07-26,-0.0012549620543102526
2016-07-27,8.42143825388245e-05
2016-07-28,-0.005488072982808357
