train,test,rank_mode,zscore_filter,rsi_filter,chosen_bottom_n,train_sharpe_net,test_sharpe_net,test_ann_ret_net,test_ann_vol_net,test_days,test_turnover
2015-2019,2020-2020,rsi,,,50,1.2421088758185956,1.995168143982959,1.2720670347838214,0.6375738499134168,248,0.23741935483870968
2016-2020,2021-2021,rsi,,,50,1.4615957397694905,2.6322295078576685,0.5966081105574634,0.22665504994016794,247,0.23484480431848856
2017-2021,2022-2022,rsi,,,50,1.5113184976633747,0.1157699582358362,0.04592839303599743,0.3967211678735879,246,0.23165311653116533
2018-2022,2023-2023,rsi,,,10,1.6920665824732877,2.445375410380055,0.6072619376899853,0.2483307614496729,245,0.2859863945578231
2019-2023,2024-2024,rsi,,,10,1.8282681025336673,2.481722976701381,0.6894856072502119,0.2778253712131287,247,0.28920377867746294
2020-2024,2025-2025,rsi,,,10,1.8996898755827982,1.2582474689487377,0.3446661638487849,0.27392557692705116,214,0.2884735202492212
