train,test,rank_mode,zscore_filter,rsi_filter,chosen_bottom_n,train_sharpe_net,test_sharpe_net,test_ann_ret_net,test_ann_vol_net,test_days,test_turnover
2015-2019,2020-2020,zscore,,,50,1.0967482865498168,2.190171623111063,1.3368604429925428,0.6103907241267144,248,0.25510752688172045
2016-2020,2021-2021,zscore,,,50,1.490001667762139,2.6461356271869305,0.5728869520980016,0.21649946669854928,247,0.25417004048583
2017-2021,2022-2022,zscore,,,50,1.5969864249470929,-0.2056693099375092,-0.08286215533447243,0.4028902287835233,246,0.25579945799458
2018-2022,2023-2023,zscore,,,50,1.2195437120661716,1.6950399366620679,0.38982220906239934,0.2299781855465016,245,0.2588843537414966
2019-2023,2024-2024,zscore,,,50,1.6385526706112974,3.2109912145984882,0.6668341992459598,0.20767238359739415,247,0.2612685560053981
2020-2024,2025-2025,zscore,,,50,1.5756643592950426,1.0548886618665192,0.27755989936155145,0.2631177198079248,214,0.2553582554517134
