date,port_net
2015-11-30,-0.0038984070924895768
2015-12-01,-0.010891132751018702
2015-12-02,-0.014157990983129488
2015-12-03,-0.010828986980501535
2015-12-04,-0.014668088339341578
2015-12-07,-0.010001678000535096
2015-12-08,-0.01617702362195665
2015-12-09,-0.016942811115285852
2015-12-10,-0.01636340048582579
2015-12-11,0.002225947504250645
2015-12-14,0.017056291239833692
2015-12-15,0.014232326173406855
2015-12-16,-0.0024555224168227325
2015-12-17,-0.005191174787687263
2015-12-18,0.012519790989894405
2015-12-21,0.02732746162804326
2015-12-22,0.026616212205043
2015-12-23,0.013182940905033674
2015-12-24,0.0035109162072599308
2015-12-28,0.002311194509904044
2015-12-29,-0.0027539538019589723
2015-12-30,-0.006718959183674495
2015-12-31,-0.0175433029382223
2016-01-04,-0.025119238948085088
2016-01-05,-0.043358716989736354
2016-01-06,-0.04882569777033428
2016-01-07,-0.03865996475550845
2016-01-08,-0.022772401748120976
2016-01-11,-0.009673673082614681
2016-01-12,-0.02037261934742638
2016-01-13,-0.021378439246844228
2016-01-14,-0.03378597757025999
2016-01-15,-0.023320098998393768
2016-01-19,-0.00996784349665282
2016-01-20,0.006946515689511843
2016-01-21,0.013019831847293299
2016-01-22,0.005604361459927215
2016-01-25,0.008222716434178753
2016-01-26,0.00991899956100642
2016-01-27,0.025890342736086838
2016-01-28,0.022508839904797014
2016-01-29,0.011025693679575729
2016-02-01,-0.006670769245558468
2016-02-02,-0.013030298890401361
2016-02-03,-0.029519949932083168
2016-02-04,-0.034680087271672204
2016-02-05,-0.03449132554484891
2016-02-08,-0.010209176012072989
2016-02-09,0.00604724314143314
2016-02-10,0.02321229468090075
2016-02-11,0.04824890024608458
2016-02-12,0.05326523194698785
2016-02-16,0.04482777557162717
2016-02-17,0.020701474160305315
2016-02-18,0.01107992378291617
2016-02-19,0.01141805257191906
2016-02-22,0.010272490003100964
2016-02-23,0.013496062769220435
2016-02-24,0.013449864270114912
2016-02-25,0.021321836033931642
2016-02-26,0.02167090281286429
2016-02-29,0.024696149768025703
2016-03-01,0.022712565948662704
2016-03-02,0.018325120887931357
2016-03-03,0.007803056292783334
2016-03-04,-0.0015632353139135994
2016-03-07,-0.004201089222062
2016-03-08,0.010349937777669066
2016-03-09,0.02121326810560764
2016-03-10,0.02450362782303063
2016-03-11,0.01041957852694267
2016-03-14,0.0023024119175696317
2016-03-15,0.0071592109027079414
2016-03-16,0.013727399006884524
2016-03-17,0.015040561862454789
2016-03-18,0.0071921550412420935
2016-03-21,0.0006081180342013598
2016-03-22,-0.0034468921200637467
2016-03-23,0.0014702488064714469
2016-03-24,0.009650123437379038
2016-03-28,0.01562646218524538
2016-03-29,0.012210869756199757
2016-03-30,0.00697674329748568
2016-03-31,-0.0006064762259355196
2016-04-01,-0.003707539481120469
2016-04-04,-0.006469565632958486
2016-04-05,-0.00304632636642539
2016-04-06,-0.0040010955840033575
2016-04-07,0.0005503067658769244
2016-04-08,0.007018003567844246
2016-04-11,0.016552437243416113
2016-04-12,0.017429392946013162
2016-04-13,0.010845226624392067
2016-04-14,0.006454190969474099
2016-04-15,0.005122725797328597
2016-04-18,0.002952923729379559
2016-04-19,0.003478253562992426
2016-04-20,-0.0014724080256623743
2016-04-21,0.002684001631448208
2016-04-22,-0.0010713014856129515
2016-04-25,-0.0026646722323538804
2016-04-26,-0.010626615604057183
2016-04-27,-0.010677649631811718
2016-04-28,-0.008668725294040568
2016-04-29,-0.006022551647661099
2016-05-02,-0.011315021167311673
2016-05-03,-0.013039733791547083
2016-05-04,-0.013364699867491427
2016-05-05,-0.004121635556515958
2016-05-06,0.00019387397525631874
2016-05-09,0.0038862056876861678
2016-05-10,-0.00527534921661108
2016-05-11,-0.006840562852134054
2016-05-12,-0.0065129389271057795
2016-05-13,0.0029696352661869093
2016-05-16,0.002224651684265092
2016-05-17,0.0007304447373849215
2016-05-18,-0.0020607721794026904
2016-05-19,0.006391587321313709
2016-05-20,0.009397325551329333
2016-05-23,0.01488385888123202
2016-05-24,0.012431643911964878
2016-05-25,0.011883881844174559
2016-05-26,0.006605826909237208
2016-05-27,0.0036793697073697696
2016-05-31,0.0038532175767947005
2016-06-01,0.005863856969070939
2016-06-02,0.007029056054791245
2016-06-03,0.007713047726101286
2016-06-06,0.0058183160006012955
2016-06-07,0.00032736461622533234
2016-06-08,-0.00854590882599574
2016-06-09,-0.021371041312855436
2016-06-10,-0.02368460338831453
2016-06-13,-0.019367283023072435
2016-06-14,-0.004318218816800676
2016-06-15,0.004818003660565812
2016-06-16,0.009902387773477676
2016-06-17,0.008152914848708115
2016-06-20,0.00787224236178517
2016-06-21,0.0004870277935418445
2016-06-22,-0.01425492518886888
2016-06-23,-0.02083137698348455
2016-06-24,-0.015262466662933771
2016-06-27,0.01626813643099384
2016-06-28,0.03340467119471157
2016-06-29,0.030852490238764674
2016-06-30,0.007800115373415204
2016-07-01,-0.008686905084442498
2016-07-05,0.004818010944819952
2016-07-06,0.021919502878331984
2016-07-07,0.03148703895559086
2016-07-08,0.020939163813019142
2016-07-11,0.010119540002629572
2016-07-12,0.003707255416136943
2016-07-13,0.0016410717497050413
2016-07-14,0.0001302993674959085
2016-07-15,0.0021383692700121457
2016-07-18,-7.528625895143845e-05
2016-07-19,0.0007164805799728625
2016-07-20,-0.002669034225184765
2016-07-21,-0.0007980907531813332
2016-07-22,-0.0016184462844024959
2016-07-25,8.408912397598093e-05
2016-07-26,-0.0004684481907664604
2016-07-27,-0.0002335979468916617
2016-07-28,-0.0055115040615572874
