period,start,end,hold_days,bottom_n,cost_bps_oneway,avg_daily_turnover,days,avg_daily_ret_gross,sharpe_gross,ann_ret_gross,ann_vol_gross,win_rate_gross,avg_daily_ret_net,sharpe_net,ann_ret_net,ann_vol_net,win_rate_net
full,2015-11-19,2025-11-14,3,5,0,0.3177848775292864,2503,0.001749627841717113,1.2588537495836534,0.44090621611271247,0.35024419338508195,0.5461446264482621,0.001749627841717113,1.2588537495836534,0.44090621611271247,0.35024419338508195,0.5461446264482621
full,2015-11-19,2025-11-14,3,5,5,0.3177848775292864,2503,0.001749627841717113,1.2588537495836534,0.44090621611271247,0.35024419338508195,0.5461446264482621,0.0014318429641878262,1.0302081627335293,0.3608244269753322,0.35024419338508195,0.5381542149420695
full,2015-11-19,2025-11-14,3,5,10,0.3177848775292864,2503,0.001749627841717113,1.2588537495836534,0.44090621611271247,0.35024419338508195,0.5461446264482621,0.0011140580866585397,0.801562575883406,0.280742637837952,0.35024419338508195,0.5261685976827807
full,2015-11-19,2025-11-14,3,5,20,0.3177848775292864,2503,0.001749627841717113,1.2588537495836534,0.44090621611271247,0.35024419338508195,0.5461446264482621,0.00047848833159996705,0.3442714021831591,0.1205790595631917,0.35024419338508195,0.5121853775469437
full,2015-11-19,2025-11-14,3,10,0,0.2971112886048988,2503,0.0016296972578846468,1.3230020018592679,0.410683708986931,0.31041805561123925,0.5605273671594088,0.0016296972578846468,1.3230020018592679,0.410683708986931,0.31041805561123925,0.5605273671594088
full,2015-11-19,2025-11-14,3,10,5,0.2971112886048988,2503,0.0016296972578846468,1.3230020018592679,0.410683708986931,0.31041805561123925,0.5605273671594088,0.0013325859692797475,1.081804547732428,0.33581166425849635,0.31041805561123925,0.5509388733519777
full,2015-11-19,2025-11-14,3,10,10,0.2971112886048988,2503,0.0016296972578846468,1.3230020018592679,0.410683708986931,0.31041805561123925,0.5605273671594088,0.0010354746806748483,0.8406070936055886,0.2609396195300618,0.31041805561123925,0.542948461845785
full,2015-11-19,2025-11-14,3,10,20,0.2971112886048988,2503,0.0016296972578846468,1.3230020018592679,0.410683708986931,0.31041805561123925,0.5605273671594088,0.000441252103465051,0.35821218535191035,0.11119553007319284,0.31041805561123925,0.5237714742309229
full,2015-11-19,2025-11-14,3,20,0,0.2610423322683706,2503,0.0019453781975605554,1.619432732161176,0.49023530578526,0.30272038847271415,0.5773072313224131,0.0019453781975605554,1.619432732161176,0.49023530578526,0.30272038847271415,0.5773072313224131
full,2015-11-19,2025-11-14,3,20,5,0.2610423322683706,2503,0.0019453781975605554,1.619432732161176,0.49023530578526,0.30272038847271415,0.5773072313224131,0.0016843358652921848,1.4021276868567736,0.4244526380536306,0.30272038847271415,0.5717139432680783
full,2015-11-19,2025-11-14,3,20,10,0.2610423322683706,2503,0.0019453781975605554,1.619432732161176,0.49023530578526,0.30272038847271415,0.5773072313224131,0.001423293533023814,1.1848226415523713,0.35866997032200115,0.30272038847271415,0.5625249700359568
full,2015-11-19,2025-11-14,3,20,20,0.2610423322683706,2503,0.0019453781975605554,1.619432732161176,0.49023530578526,0.30272038847271415,0.5773072313224131,0.0009012088684870731,0.7502125509435669,0.2271046348587424,0.3027203884727142,0.5469436675988814
full,2015-11-19,2025-11-14,3,30,0,0.231354277600284,2503,0.0020600824360325547,1.7240349692372878,0.5191407738802037,0.3011196310651816,0.5829005193767479,0.0020600824360325547,1.7240349692372878,0.5191407738802037,0.3011196310651816,0.5829005193767479
full,2015-11-19,2025-11-14,3,30,5,0.231354277600284,2503,0.0020600824360325547,1.7240349692372878,0.5191407738802037,0.3011196310651816,0.5829005193767479,0.0018287281584322705,1.5304199672892698,0.4608394959249322,0.3011196310651816,0.5801038753495805
full,2015-11-19,2025-11-14,3,30,10,0.231354277600284,2503,0.0020600824360325547,1.7240349692372878,0.5191407738802037,0.3011196310651816,0.5829005193767479,0.0015973738808319864,1.3368049653412517,0.40253821796966055,0.3011196310651816,0.5721134638433879
full,2015-11-19,2025-11-14,3,30,20,0.231354277600284,2503,0.0020600824360325547,1.7240349692372878,0.5191407738802037,0.3011196310651816,0.5829005193767479,0.0011346653256314185,0.949574961445216,0.28593566205911747,0.3011196310651816,0.5593288054334798
full,2015-11-19,2025-11-14,3,50,0,0.18595047923322686,2503,0.0021546277397502494,1.8077902945391577,0.5429661904170628,0.300347995039699,0.588094286855773,0.0021546277397502494,1.8077902945391577,0.5429661904170628,0.300347995039699,0.588094286855773
full,2015-11-19,2025-11-14,3,50,5,0.18595047923322686,2503,0.0021546277397502494,1.8077902945391577,0.5429661904170628,0.300347995039699,0.588094286855773,0.0019686772605170227,1.6517728696165128,0.4961066696502897,0.300347995039699,0.5809029165001998
full,2015-11-19,2025-11-14,3,50,10,0.18595047923322686,2503,0.0021546277397502494,1.8077902945391577,0.5429661904170628,0.300347995039699,0.588094286855773,0.0017827267812837956,1.4957554446938675,0.44924714888351647,0.300347995039699,0.5745105872952457
full,2015-11-19,2025-11-14,3,50,20,0.18595047923322686,2503,0.0021546277397502494,1.8077902945391577,0.5429661904170628,0.300347995039699,0.588094286855773,0.0014108258228173421,1.1837205948485778,0.3555281073499702,0.300347995039699,0.5621254494606472
2015-2019,2015-11-19,2019-12-31,3,5,0,0.31838187702265375,1029,0.0009662084111510448,0.9556916072892357,0.2434845196100633,0.2547731064633843,0.5267249757045676,0.0009662084111510448,0.9556916072892357,0.2434845196100633,0.2547731064633843,0.5267249757045676
2015-2019,2015-11-19,2019-12-31,3,5,5,0.31838187702265375,1029,0.0009662084111510448,0.9556916072892357,0.2434845196100633,0.2547731064633843,0.5267249757045676,0.0006478265341283906,0.6407751935301573,0.16325228660035443,0.2547731064633843,0.5150631681243926
2015-2019,2015-11-19,2019-12-31,3,5,10,0.31838187702265375,1029,0.0009662084111510448,0.9556916072892357,0.2434845196100633,0.2547731064633843,0.5267249757045676,0.00032944465710573725,0.32585877977107974,0.08302005359064579,0.2547731064633843,0.5034013605442177
2015-2019,2015-11-19,2019-12-31,3,5,20,0.31838187702265375,1029,0.0009662084111510448,0.9556916072892357,0.2434845196100633,0.2547731064633843,0.5267249757045676,-0.0003073190969395699,-0.3039740477470758,-0.0774444124287716,0.2547731064633843,0.4897959183673469
2015-2019,2015-11-19,2019-12-31,3,10,0,0.2979288025889968,1029,0.0005876873550278212,0.6906146592876841,0.14809721346701094,0.21444261495949396,0.5461613216715258,0.0005876873550278212,0.6906146592876841,0.14809721346701094,0.21444261495949396,0.5461613216715258
2015-2019,2015-11-19,2019-12-31,3,10,5,0.2979288025889968,1029,0.0005876873550278212,0.6906146592876841,0.14809721346701094,0.21444261495949396,0.5461613216715258,0.00028975855243882416,0.34050673756415567,0.07301915521458369,0.21444261495949396,0.5335276967930029
2015-2019,2015-11-19,2019-12-31,3,10,10,0.2979288025889968,1029,0.0005876873550278212,0.6906146592876841,0.14809721346701094,0.21444261495949396,0.5461613216715258,-8.170250150172367e-06,-0.009601184159372158,-0.0020589030378434367,0.21444261495949396,0.5238095238095238
2015-2019,2015-11-19,2019-12-31,3,10,20,0.2979288025889968,1029,0.0005876873550278212,0.6906146592876841,0.14809721346701094,0.21444261495949396,0.5461613216715258,-0.0006040278553281661,-0.7098170276064286,-0.15221501954269784,0.21444261495949396,0.5014577259475219
2015-2019,2015-11-19,2019-12-31,3,20,0,0.2601456310679612,1029,0.000956190962126822,1.1598331870009646,0.24096012245595913,0.2077541194342103,0.5636540330417882,0.000956190962126822,1.1598331870009646,0.24096012245595913,0.2077541194342103,0.5636540330417882
2015-2019,2015-11-19,2019-12-31,3,20,5,0.2601456310679612,1029,0.000956190962126822,1.1598331870009646,0.24096012245595913,0.2077541194342103,0.5636540330417882,0.0006960453310588612,0.844283732637986,0.17540342342683302,0.2077541194342103,0.5607385811467445
2015-2019,2015-11-19,2019-12-31,3,20,10,0.2601456310679612,1029,0.000956190962126822,1.1598331870009646,0.24096012245595913,0.2077541194342103,0.5636540330417882,0.0004358996999908996,0.5287342782750067,0.10984672439770671,0.20775411943421027,0.5510204081632653
2015-2019,2015-11-19,2019-12-31,3,20,20,0.2601456310679612,1029,0.000956190962126822,1.1598331870009646,0.24096012245595913,0.2077541194342103,0.5636540330417882,-8.43915621450224e-05,-0.10236463045095087,-0.021266673660545646,0.20775411943421027,0.5354713313896987
2015-2019,2015-11-19,2019-12-31,3,30,0,0.23031283710895362,1029,0.0012600665278650713,1.5523606409003865,0.31753676502199796,0.20455089922778716,0.577259475218659,0.0012600665278650713,1.5523606409003865,0.31753676502199796,0.20455089922778716,0.577259475218659
2015-2019,2015-11-19,2019-12-31,3,30,5,0.23031283710895362,1029,0.0012600665278650713,1.5523606409003865,0.31753676502199796,0.20455089922778716,0.577259475218659,0.0010297536907561177,1.2686227782434027,0.25949793007054167,0.2045508992277872,0.5714285714285714
2015-2019,2015-11-19,2019-12-31,3,30,10,0.23031283710895362,1029,0.0012600665278650713,1.5523606409003865,0.31753676502199796,0.20455089922778716,0.577259475218659,0.0007994408536471645,0.98488491558642,0.20145909511908544,0.2045508992277872,0.564625850340136
2015-2019,2015-11-19,2019-12-31,3,30,20,0.23031283710895362,1029,0.0012600665278650713,1.5523606409003865,0.31753676502199796,0.20455089922778716,0.577259475218659,0.0003388151794292572,0.4174091902724532,0.08538142521617281,0.2045508992277872,0.5510204081632653
2015-2019,2015-11-19,2019-12-31,3,50,0,0.18354045307443362,1029,0.0014521967060213258,1.8135069852614156,0.3659535699173741,0.20179330594892758,0.5830903790087464,0.0014521967060213258,1.8135069852614156,0.3659535699173741,0.20179330594892758,0.5830903790087464
2015-2019,2015-11-19,2019-12-31,3,50,5,0.18354045307443362,1029,0.0014521967060213258,1.8135069852614156,0.3659535699173741,0.20179330594892758,0.5830903790087464,0.0012686562529468923,1.58430119492433,0.31970137574261687,0.2017933059489276,0.5753158406219631
2015-2019,2015-11-19,2019-12-31,3,50,10,0.18354045307443362,1029,0.0014521967060213258,1.8135069852614156,0.3659535699173741,0.20179330594892758,0.5830903790087464,0.001085115799872459,1.3550954045872448,0.2734491815678597,0.2017933059489276,0.565597667638484
