name,rank_mode,bottom_n,hold_days,cost_bps_oneway,zscore_filter,rsi_filter,days,avg_breadth,turnover,sharpe_gross,ann_ret_gross,ann_vol_gross,win_rate_gross,sharpe_net,ann_ret_net,ann_vol_net,win_rate_net,beta_net_vs_eqw,alpha_ann_net_vs_eqw,r2_net_vs_eqw
rsi_rank AND rsi<= 20.0,rsi,10,3,10,,20.0,2503,20.190171793847384,0.28770211196299894,1.8733000677962135,0.6562688566786112,0.3503276746531369,0.5653216140631242,1.4605214629581371,0.5112669922492598,0.35005784250081523,0.5533359968038354,0.9080192947746595,0.3688621706963073,0.24241539107661292
rsi_rank AND rsi<= 10.0,rsi,20,3,10,,10.0,2486,29.573612228479487,0.29295126984218406,1.8558743773838982,0.645484377005517,0.347806071828748,0.5675784392598552,1.4323913286346421,0.49783693700505627,0.34755651409841704,0.5506838294448914,0.8291488054706607,0.36102345367658745,0.20522719572283465
rsi_rank AND z<= -1.0,rsi,50,3,10,-1.0,,2500,68.018,0.29057574732429775,1.917166128400766,0.5693493418969617,0.2969744423619113,0.5824,1.4252243995453227,0.42289916524551574,0.2967246178078552,0.5596,0.8476230734861815,0.2915276958355992,0.2941768682350919
rsi_rank AND rsi<= 15.0,rsi,5,3,10,,15.0,2498,10.389111289031225,0.2919646828573971,1.7966670730745156,0.7002734502846676,0.389762500119923,0.5488390712570056,1.4201672306460438,0.5531232501245394,0.38947754756523983,0.5388310648518815,0.884561193806484,0.41486710353861217,0.18584599423586368
combo_rank (rank_z + rank_rsi),combo,30,3,10,,,2503,64.96604075109869,0.2778532427753363,1.8571769804929346,0.5766493466906667,0.3104977892508724,0.5888933280063924,1.4063680963683527,0.4366113123318971,0.31045308369789765,0.5705153815421494,0.9440136108725508,0.2885614960191,0.33313036100571103
combo_rank (rank_z + rank_rsi),combo,50,3,10,,,2503,97.27566919696365,0.24563856705286985,1.8115386914867706,0.5514368018097471,0.3044024421897224,0.5852976428286056,1.4052188374768284,0.42763496401510076,0.3043191228370879,0.5737115461446265,0.962828070005311,0.27663447285339426,0.3606522605112976
combo_rank AND z<= -1.0,combo,50,3,10,-1.0,,2500,74.7984,0.2930507075026012,1.9103303891070633,0.5573680565480726,0.29176526726803553,0.5808,1.4050127974219844,0.40967049996676164,0.29157777119073486,0.5596,0.8351408782430003,0.2802336219829773,0.2957473064355136
combo_rank AND rsi<= 10.0,combo,50,3,10,,10.0,2486,46.12469831053902,0.29909943535396516,1.849946676744122,0.6236954075740884,0.337142370325929,0.5651649235720032,1.4033856371484212,0.47294929215568987,0.3370059373820362,0.5470635559131134,0.8226770503020436,0.3372036791081955,0.21488419673313752
combo_rank AND rsi<= 10.0,combo,30,3,10,,10.0,2486,38.50683829444891,0.3047336793632417,1.8505330952648344,0.6296819273694632,0.34027055716036675,0.5691874497184232,1.3995448516907496,0.47609615297038943,0.3401792749944609,0.5502815768302494,0.8251881315702077,0.3399361996103339,0.21218323236388814
z_rank AND z<= -1.0,zscore,50,3,10,-1.0,,2500,79.7288,0.29794962350595744,1.916644523925593,0.5522679071673195,0.2881431064933142,0.5844,1.3959958600672224,0.402101296920317,0.2880390325089892,0.5628,0.8252250299745929,0.27420125718246285,0.2959049533094752
