name,rank_mode,bottom_n,hold_days,cost_bps_oneway,zscore_filter,rsi_filter,days,avg_breadth,turnover,sharpe_gross,ann_ret_gross,ann_vol_gross,win_rate_gross,sharpe_net,ann_ret_net,ann_vol_net,win_rate_net,beta_net_vs_eqw,alpha_ann_net_vs_eqw,r2_net_vs_eqw
z_rank AND z<= -1.0,zscore,10,3,10,-1.0,,2500,26.9604,0.3250921693121694,1.457893976816155,0.45362147011338694,0.3111484630069159,0.5596,0.9312287812405451,0.28977501678005363,0.31117489344995025,0.5396,0.8332652716810984,0.16062883544880202,0.2585041994746663
z_rank AND z<= -1.5,zscore,5,3,10,-1.5,,2397,12.72090112640801,0.3315417419923053,1.289727208755769,0.5067823365316934,0.3929376174211278,0.5398414685022945,0.8644827792810366,0.3396852985675715,0.39293471970613136,0.5164789319983313,0.8452938244689937,0.19980994132133925,0.16311596955053553
z_rank AND rsi<= 10.0,zscore,10,3,10,,10.0,2472,16.696197411003237,0.3281103919453434,1.2775107664137213,0.4668662434205272,0.3654499482075855,0.5436893203883495,0.8250202922638871,0.30149860588007404,0.3654438669050799,0.5283171521035599,0.837515263118941,0.16928922638550437,0.1896581431138098
z_rank AND z<= -1.0,zscore,5,3,10,-1.0,,2500,14.4112,0.33004666666666677,1.2795494379888668,0.44973441539045517,0.3514787330900835,0.5464,0.8062406224992403,0.28339089539045526,0.35149667169086646,0.5264,0.8493523966702877,0.15175140150729466,0.2104958494971414
z_rank AND rsi<= 20.0,zscore,5,3,10,,20.0,2501,13.814874050379848,0.3302367941712205,1.2706382059790298,0.45498586847587935,0.35807664710137665,0.5401839264294283,0.8058080509627716,0.28854652421358434,0.3580834466332668,0.5209916033586566,0.8490014765097826,0.156980358048854,0.20248138857651554
z_rank,zscore,10,3,10,,,2503,27.54654414702357,0.323691570115861,1.3230020018592679,0.410683708986931,0.31041805561123925,0.5605273671594088,0.797345714348168,0.24754315764853702,0.3104590056659477,0.5421494206951658,0.8697864561168916,0.11113439873197754,0.282791542315325
z_rank AND rsi<= 20.0,zscore,10,3,10,,20.0,2502,25.486410871302958,0.32528331831888985,1.2988627838218898,0.41544145586891945,0.3198501497182693,0.5563549160671463,0.7862662733646648,0.251498663436199,0.31986449369112857,0.5387689848121503,0.8583068314456838,0.11857072760400607,0.2592490317371626
z_rank,zscore,5,3,10,,,2503,14.481022772672793,0.32979091756558804,1.2588537495836534,0.44090621611271247,0.35024419338508195,0.5461446264482621,0.7842396904157793,0.27469159365965606,0.350264845067996,0.5261685976827807,0.8590760678827509,0.13996254676466122,0.21673038330236194
z_rank AND rsi<= 15.0,zscore,10,3,10,,15.0,2497,22.497797356828194,0.32632508216208655,1.2621311655882907,0.42157564404771486,0.33401888451998946,0.5466559871846215,0.7697356049654872,0.2571078026380232,0.3340209300173288,0.5318382058470165,0.8582845456779304,0.12464264871381649,0.23773398533900558
z_rank AND z<= -2.0,zscore,5,3,10,-2.0,,0,0.0,,,,,,,,,,,,
z_rank AND z<= -2.0,zscore,10,3,10,-2.0,,0,0.0,,,,,,,,,,,,
z_rank AND z<= -2.0,zscore,20,3,10,-2.0,,0,0.0,,,,,,,,,,,,
z_rank AND z<= -2.0,zscore,30,3,10,-2.0,,0,0.0,,,,,,,,,,,,
z_rank AND z<= -2.0,zscore,50,3,10,-2.0,,0,0.0,,,,,,,,,,,,
rsi_rank AND z<= -2.0,rsi,5,3,10,-2.0,,0,0.0,,,,,,,,,,,,
rsi_rank AND z<= -2.0,rsi,10,3,10,-2.0,,0,0.0,,,,,,,,,,,,
rsi_rank AND z<= -2.0,rsi,20,3,10,-2.0,,0,0.0,,,,,,,,,,,,
rsi_rank AND z<= -2.0,rsi,30,3,10,-2.0,,0,0.0,,,,,,,,,,,,
rsi_rank AND z<= -2.0,rsi,50,3,10,-2.0,,0,0.0,,,,,,,,,,,,
combo_rank AND z<= -2.0,combo,5,3,10,-2.0,,0,0.0,,,,,,,,,,,,
combo_rank AND z<= -2.0,combo,10,3,10,-2.0,,0,0.0,,,,,,,,,,,,
combo_rank AND z<= -2.0,combo,20,3,10,-2.0,,0,0.0,,,,,,,,,,,,
combo_rank AND z<= -2.0,combo,30,3,10,-2.0,,0,0.0,,,,,,,,,,,,
combo_rank AND z<= -2.0,combo,50,3,10,-2.0,,0,0.0,,,,,,,,,,,,
