symbol,trade_id,entry_date,exit_date,holding_days
AMC,17,2017-11-02,2017-11-08,6
AMC,18,2018-01-08,2018-01-11,3
AMC,19,2018-01-19,2018-01-24,5
AMC,20,2018-01-26,2018-02-02,7
AMC,21,2018-03-13,2018-03-16,3
AMC,22,2018-03-27,2018-04-03,7
AMC,23,2018-05-21,2018-05-29,8
AMC,24,2018-06-08,2018-06-13,5
AMC,25,2018-07-23,2018-07-30,7
AMC,26,2018-11-06,2018-11-15,9
AMC,27,2019-03-12,2019-03-18,6
AMC,28,2019-04-23,2019-04-26,3
AMC,29,2019-05-29,2019-06-12,14
AMC,30,2019-06-24,2019-06-28,4
AMC,31,2019-07-01,2019-07-09,8
AMC,32,2019-09-19,2019-09-24,5
AMC,33,2019-10-03,2019-10-17,14
AMC,34,2019-11-20,2019-11-26,6
AMC,35,2019-12-19,2019-12-27,8
AMC,36,2020-01-08,2020-01-14,6
AMC,37,2020-03-05,2020-03-12,7
AMC,38,2020-03-30,2020-04-07,8
AMC,39,2020-04-13,2020-04-16,3
AMC,40,2020-06-25,2020-07-01,6
AMC,41,2020-07-14,2020-07-17,3
AMC,42,2020-07-22,2020-07-30,8
AMC,43,2020-09-14,2020-09-17,3
AMC,44,2020-09-24,2020-09-29,5
AMC,45,2020-10-05,2020-10-09,4
AMC,46,2020-10-13,2020-10-20,7
AMC,47,2020-11-02,2020-11-05,3
AMC,48,2020-12-15,2020-12-18,3
AMC,49,2020-12-23,2021-01-08,16
AMC,50,2021-02-09,2021-02-12,3
AMC,51,2021-03-24,2021-03-29,5
AMC,52,2021-04-01,2021-04-07,6
AMC,53,2021-04-12,2021-04-15,3
AMC,54,2021-05-06,2021-05-11,5
AMC,55,2021-06-25,2021-06-30,5
AMC,56,2021-07-02,2021-07-19,17
AMC,57,2021-08-03,2021-08-09,6
AMC,58,2021-09-21,2021-09-24,3
AMC,59,2021-09-29,2021-10-04,5
AMC,60,2021-11-29,2021-12-06,7
AMC,61,2021-12-10,2021-12-16,6
AMC,62,2021-12-28,2021-12-31,3
AMC,63,2022-01-13,2022-02-01,19
AMC,64,2022-03-14,2022-03-17,3
AMC,65,2022-04-08,2022-04-13,5
AMC,66,2022-05-10,2022-05-16,6
AMC,67,2022-05-24,2022-05-27,3
AMC,68,2022-07-25,2022-07-28,3
AMC,69,2022-08-18,2022-08-31,13
AMC,70,2022-11-07,2022-11-10,3
AMC,71,2022-11-30,2022-12-05,5
AMC,72,2022-12-13,2022-12-22,9
AMC,73,2022-12-23,2022-12-29,6
AMC,74,2023-01-06,2023-01-11,5
AMC,75,2023-02-13,2023-02-17,4
AMC,76,2023-04-04,2023-04-10,6
AMC,77,2023-05-10,2023-05-19,9
AMC,78,2023-06-22,2023-06-28,6
AMC,79,2023-08-23,2023-08-30,7
AMC,80,2023-10-16,2023-10-19,3
AMC,81,2023-11-09,2023-11-15,6
AMC,82,2023-11-16,2023-11-27,11
AMC,83,2023-12-20,2023-12-27,7
AMC,84,2024-01-05,2024-01-10,5
AMC,85,2024-01-12,2024-01-22,10
AMC,86,2024-01-25,2024-01-30,5
AMC,87,2024-02-05,2024-02-08,3
AMC,88,2024-02-22,2024-02-27,5
AMC,89,2024-03-22,2024-03-27,5
AMC,90,2024-04-01,2024-04-04,3
AMC,91,2024-04-12,2024-04-18,6
AMC,92,2024-05-09,2024-05-15,6
AMC,93,2024-06-21,2024-06-26,5
AMC,94,2024-08-16,2024-08-21,5
AMC,95,2024-08-22,2024-08-27,5
AMC,96,2024-09-19,2024-09-30,11
AMC,97,2024-10-09,2024-10-14,5
AMC,98,2024-12-27,2025-01-02,6
AMC,99,2025-01-13,2025-01-17,4
AMC,100,2025-04-01,2025-04-08,7
AMC,101,2025-04-29,2025-05-06,7
AMC,102,2025-06-11,2025-06-17,6
AMC,103,2025-07-01,2025-07-07,6
AMC,104,2025-07-25,2025-08-04,10
AMC,105,2025-08-06,2025-08-11,5
AMC,106,2025-08-19,2025-08-25,6
AMC,107,2025-09-02,2025-09-08,6
AMC,108,2025-10-17,2025-10-22,5
AMD,1,2016-04-15,2016-04-20,5
AMD,2,2016-09-08,2016-09-13,5
AMD,3,2017-01-12,2017-01-20,8
AMD,4,2017-07-03,2017-07-07,4
AMD,5,2018-03-09,2018-03-15,6
AMD,6,2018-03-26,2018-04-03,8
AMD,7,2018-10-25,2018-10-31,6
AMD,8,2019-06-14,2019-06-20,6
AMD,9,2020-04-29,2020-05-06,7
AMD,10,2020-05-28,2020-06-02,5
AMD,11,2020-10-09,2020-10-14,5
AMD,12,2020-10-21,2020-10-26,5
AMD,13,2020-12-23,2021-01-04,12
AMD,14,2021-03-30,2021-04-05,6
AMD,15,2021-05-03,2021-05-06,3
AMD,16,2021-07-15,2021-07-20,5
AMD,17,2021-12-06,2021-12-09,3
AMD,18,2022-01-27,2022-02-01,5
AMD,19,2022-06-28,2022-07-07,9
AMD,20,2022-10-07,2022-10-12,5
AMD,21,2023-04-05,2023-04-12,7
AMD,22,2023-04-17,2023-04-21,4
AMD,23,2023-04-25,2023-04-28,3
AMD,24,2023-06-21,2023-06-29,8
AMD,25,2023-07-20,2023-07-25,5
AMD,26,2024-03-20,2024-03-25,5
AMD,27,2024-05-13,2024-05-16,3
AMD,28,2024-07-16,2024-07-24,8
AMD,29,2024-10-16,2024-10-21,5
AMD,30,2025-01-28,2025-01-31,3
AMD,31,2025-04-03,2025-04-11,8
AMD,32,2025-07-01,2025-07-07,6
AMD,33,2025-08-19,2025-08-22,3
AMD,34,2025-09-05,2025-09-10,5
AMT,1,2015-12-09,2015-12-16,7
AMT,2,2016-01-15,2016-01-21,6
AMT,3,2016-04-21,2016-04-26,5
AMT,4,2016-11-09,2016-11-17,8
AMT,5,2016-11-30,2016-12-05,5
AMT,6,2017-01-10,2017-01-13,3
AMT,7,2017-04-26,2017-05-01,5
AMT,8,2017-06-12,2017-06-15,3
AMT,9,2017-09-14,2017-09-19,5
AMT,10,2017-09-26,2017-10-02,6
AMT,11,2017-11-17,2017-11-22,5
AMT,12,2017-12-04,2017-12-07,3
AMT,13,2017-12-20,2017-12-27,7
AMT,14,2018-01-11,2018-01-18,7
AMT,15,2018-02-08,2018-02-13,5
AMT,16,2018-04-03,2018-04-06,3
AMT,17,2018-04-10,2018-04-13,3
AMT,18,2018-05-24,2018-05-30,6
AMT,19,2018-08-23,2018-08-28,5
AMT,20,2019-02-25,2019-03-04,7
AMT,21,2019-06-27,2019-07-05,8
AMT,22,2019-07-19,2019-07-24,5
AMT,23,2019-09-10,2019-09-16,6
AMT,24,2019-10-25,2019-10-31,6
AMT,25,2020-05-14,2020-05-19,5
AMT,26,2020-07-13,2020-07-16,3
AMT,27,2020-11-23,2020-11-30,7
AMT,28,2020-12-09,2020-12-14,5
AMT,29,2021-02-11,2021-02-19,8
AMT,30,2021-03-01,2021-03-09,8
AMT,31,2021-08-10,2021-08-13,3
AMT,32,2021-09-27,2021-09-30,3
AMT,33,2021-11-04,2021-11-10,6
AMT,34,2021-11-12,2021-11-19,7
AMT,35,2022-01-11,2022-01-26,15
AMT,36,2022-02-17,2022-02-24,7
AMT,37,2022-03-23,2022-03-28,5
