date,port_gross,daily_cost,port_net
2015-11-30,-0.000853017206114882,0.0,-0.000853017206114882
2015-12-01,-0.004736526258250822,0.0006666666666666665,-0.005403192924917489
2015-12-02,-0.011403358855406472,0.0006,-0.012003358855406472
2015-12-03,-0.005922496144849743,0.0006666666666666668,-0.00658916281151641
2015-12-04,-0.0256738647840746,0.0006666666666666668,-0.026340531450741268
2015-12-07,-0.008780672199763485,0.0006000000000000001,-0.009380672199763485
2015-12-08,-0.012562849788037048,0.0006666666666666665,-0.013229516454703714
2015-12-09,0.0027074326765010857,0.0005925925925925926,0.002114840083908493
2015-12-10,-0.008551352601335367,0.0006666666666666668,-0.009218019268002033
2015-12-11,0.003825095611582697,0.0006666666666666668,0.0031584289449160304
2015-12-14,0.01424120917559124,0.0005925925925925926,0.013648616582998648
2015-12-15,0.015764344362911287,0.0006666666666666668,0.015097677696244621
2015-12-16,0.006474778874896288,0.0006666666666666668,0.005808112208229621
2015-12-17,-0.0043589483329146295,0.0006666666666666666,-0.0050256149995812965
2015-12-18,0.014398894543355203,0.0005333333333333335,0.01386556121002187
2015-12-21,0.02617616431339329,0.0005833333333333333,0.025592830980059954
2015-12-22,0.037046520588259156,0.0006666666666666668,0.03637985392159249
2015-12-23,0.017589269178410537,0.0006666666666666668,0.01692260251174387
2015-12-24,0.005886993401340915,0.0006666666666666666,0.005220326734674248
2015-12-28,0.004658195107727398,0.0006666666666666666,0.003991528441060731
2015-12-29,0.018890461876492726,0.0005185185185185185,0.018371943357974208
2015-12-30,0.011637119331750897,0.0006666666666666666,0.010970452665084231
2015-12-31,-0.0045693331569770556,0.0006,-0.005169333156977055
2016-01-04,-0.034698123724014526,0.0005999999999999998,-0.03529812372401453
2016-01-05,-0.05096947831706197,0.00039999999999999996,-0.05136947831706197
2016-01-06,-0.0556627210523039,0.0004,-0.0560627210523039
2016-01-07,-0.0428986425515889,0.0003333333333333333,-0.04323197588492223
2016-01-08,-0.024782211284575723,0.00026666666666666673,-0.025048877951242388
2016-01-11,-0.005918641782882177,0.0004666666666666667,-0.006385308449548844
2016-01-12,-0.009468404138964472,0.0006,-0.010068404138964471
2016-01-13,-0.016131255012064513,0.0006666666666666668,-0.01679792167873118
2016-01-14,-0.04048602896897698,0.0006666666666666666,-0.04115269563564365
2016-01-15,-0.029836910391149347,0.0005333333333333333,-0.03037024372448268
2016-01-19,-0.015605022201600004,0.0005925925925925926,-0.016197614794192596
2016-01-20,0.007020562974852353,0.0004,0.0066205629748523525
2016-01-21,0.0020552564624677708,0.0005333333333333333,0.0015219231291344376
2016-01-22,-0.001021371445710713,0.0006666666666666666,-0.0016880381123773797
2016-01-25,0.003040618830713155,0.0005333333333333335,0.0025072854973798215
2016-01-26,0.012768811243356298,0.0005925925925925926,0.012176218650763706
2016-01-27,0.025869262908048977,0.0005333333333333334,0.025335929574715643
2016-01-28,0.022020019995172956,0.0005333333333333334,0.021486686661839623
2016-01-29,0.02031590873146199,0.0006666666666666668,0.019649242064795323
2016-02-01,0.009165358775988777,0.0005925925925925926,0.008572766183396184
2016-02-02,0.007948312705804893,0.0006000000000000001,0.007348312705804893
2016-02-03,-0.012971566237480907,0.0005333333333333334,-0.01350489957081424
2016-02-04,-0.0263667081912613,0.0005,-0.0268667081912613
2016-02-05,-0.02404221313190077,0.0005333333333333335,-0.024575546465234105
2016-02-08,-0.00034481547712361904,0.0005333333333333335,-0.0008781488104569525
2016-02-09,0.030543212805893862,0.0005833333333333333,0.029959879472560527
2016-02-10,0.03974125315467528,0.0006666666666666666,0.03907458648800861
2016-02-11,0.06437907729592439,0.0006666666666666666,0.06371241062925773
2016-02-12,0.05603434036975922,0.0006666666666666668,0.05536767370309255
2016-02-16,0.03618412534785526,0.0006666666666666666,0.03551745868118859
2016-02-17,-0.011604595190319172,0.0006666666666666665,-0.012271261856985839
2016-02-18,-0.0197163765259222,0.0006666666666666666,-0.020383043192588865
2016-02-19,-0.007078442682560675,0.0005714285714285714,-0.007649871253989247
2016-02-22,0.010658828850844357,0.0004,0.010258828850844358
2016-02-23,0.013670998838368508,0.0006666666666666666,0.013004332171701842
2016-02-24,0.012626414024852588,0.0006666666666666666,0.011959747358185922
2016-02-25,0.03168448759173816,0.0005714285714285714,0.031113059020309593
2016-02-26,0.025328037892705966,0.0006666666666666666,0.0246613712260393
2016-02-29,0.029652211401544837,0.0005333333333333334,0.029118878068211503
2016-03-01,0.009401620108413824,0.0005833333333333333,0.008818286775080491
2016-03-02,0.0073262128241657,0.0005833333333333334,0.006742879490832366
2016-03-03,0.002072455146287369,0.0006,0.001472455146287369
2016-03-04,0.0026662901186894593,0.0006666666666666666,0.0019996234520227927
2016-03-07,0.00797367853698035,0.0006000000000000001,0.007373678536980351
2016-03-08,0.01304126918639454,0.0006666666666666668,0.012374602519727874
2016-03-09,0.02641939247643077,0.0006666666666666666,0.025752725809764104
2016-03-10,0.02676603087535737,0.0006,0.02616603087535737
2016-03-11,0.01565556380557073,0.0006666666666666668,0.014988897138904063
2016-03-14,-0.00643978963964417,0.0006666666666666666,-0.007106456306310837
2016-03-15,-0.0029868013122707113,0.0006666666666666666,-0.003653467978937378
2016-03-16,0.005237202863946006,0.0006,0.004637202863946006
2016-03-17,0.017221538706283564,0.0005333333333333334,0.01668820537295023
2016-03-18,0.012406262280763325,0.0006666666666666666,0.01173959561409666
2016-03-21,0.01312891276467991,0.0006,0.01252891276467991
2016-03-22,0.008042041225602961,0.0006000000000000001,0.007442041225602962
2016-03-23,0.009755465342391408,0.0006666666666666668,0.009088798675724742
