period,start,end,days,turnover_proxy,sharpe_gross,ann_ret_gross,ann_vol_gross,sharpe_net,ann_ret_net,ann_vol_net,bench_sharpe,bench_ann_ret,bench_ann_vol,beta_gross,alpha_ann_gross,r2_gross,beta_net,alpha_ann_net,r2_net
full,2015-11-19,2025-11-14,2503,0.18591793232081003,1.8077902945391577,0.5429661904170628,0.300347995039699,1.4958100601536977,0.44926355252737454,0.300347995039699,0.8262372811815933,0.15683017131072433,0.18981250892775392,0.9490566748169448,0.39412546952193483,0.35973648012769155,0.949056674816945,0.3004228316322466,0.35973648012769155
2015-2019,2015-11-19,2019-12-31,1029,0.18345654993514915,1.8135069852614156,0.3659535699173741,0.20179330594892758,1.3553049614999504,0.27349146875005903,0.2017933059489276,1.0836821812040753,0.14174296347000956,0.13079754002462188,0.9489468124791188,0.23144703654116436,0.3783287836000664,0.9489468124791188,0.13898493537384918,0.3783287836000665
2020-2021,2020-01-01,2021-12-31,503,0.1851660026560425,2.411796602116483,1.097849770641894,0.4551999823195998,2.2067797546572887,1.0045261053032484,0.4551999823195998,1.1474693192960665,0.32701975816444234,0.2849921585398535,0.9069857873778278,0.80124749779501,0.3224499483251968,0.906985787377828,0.7079238324563653,0.3224499483251969
2022-2025,2022-01-01,2025-11-14,967,0.18877846790890265,1.584092866457499,0.4524643980904417,0.28562997010540564,1.250989348675468,0.3573200502643548,0.28562997010540564,0.49447839517693104,0.08943032518271245,0.1808579020944142,0.9979218947272607,0.3632199185380339,0.39926434750179607,0.9979218947272609,0.2680755707119472,0.3992643475017962
