train,test,chosen_bottom_n,train_sharpe_net,test_sharpe_net,test_ann_ret_net,test_ann_vol,test_days,test_turnover
2015-2019,2020-2020,50,1.3553049614999504,2.236967098186251,1.3574913610042247,0.6068445808187739,251,0.18464000000000003
2016-2020,2021-2021,50,1.5988205831156417,2.8644149284360694,0.6165047422771343,0.21522885394740532,250,0.18535475234270415
2017-2021,2022-2022,50,1.7142478190283592,-0.04121544864091557,-0.016521340255389344,0.40085309756857074,249,0.18736559139784947
2018-2022,2023-2023,50,1.330444672021943,1.7818685673608077,0.4078205921091131,0.22887243177152594,248,0.18890688259109312
2019-2023,2024-2024,50,1.7279267608898294,3.3165380125139916,0.6885711519635693,0.20761744607341948,250,0.18872824631860777
2020-2024,2025-2025,50,1.6664732485030476,1.1828971326583673,0.31110778405287703,0.26300493547880477,214,0.18879499217527385
