date,symbol,event,w_prev,w_now,dw
2015-12-15,AAPL,ENTRY,0.0,0.03333333333333333,0.03333333333333333
2015-12-23,AAPL,EXIT,0.03333333333333333,0.0,-0.03333333333333333
2016-04-18,AAPL,ENTRY,0.0,0.041666666666666664,0.041666666666666664
2016-04-19,AAPL,REBAL,0.041666666666666664,0.075,0.03333333333333333
2016-04-21,AAPL,REBAL,0.075,0.03333333333333333,-0.041666666666666664
2016-04-22,AAPL,EXIT,0.03333333333333333,0.0,-0.03333333333333333
2016-04-25,AAPL,ENTRY,0.0,0.041666666666666664,0.041666666666666664
2016-04-26,AAPL,REBAL,0.041666666666666664,0.08333333333333333,0.041666666666666664
2016-04-27,AAPL,REBAL,0.08333333333333333,0.13095238095238096,0.04761904761904763
2016-04-28,AAPL,REBAL,0.13095238095238096,0.12261904761904763,-0.008333333333333331
2016-04-29,AAPL,REBAL,0.12261904761904763,0.11798941798941798,-0.00462962962962965
2016-05-02,AAPL,REBAL,0.11798941798941798,0.07037037037037037,-0.0476190476190476
2016-05-03,AAPL,REBAL,0.07037037037037037,0.037037037037037035,-0.03333333333333334
2016-05-04,AAPL,EXIT,0.037037037037037035,0.0,-0.037037037037037035
2016-05-12,AAPL,ENTRY,0.0,0.03333333333333333,0.03333333333333333
2016-05-17,AAPL,EXIT,0.03333333333333333,0.0,-0.03333333333333333
2016-07-25,AAPL,ENTRY,0.0,0.037037037037037035,0.037037037037037035
2016-07-26,AAPL,REBAL,0.037037037037037035,0.07407407407407407,0.037037037037037035
2016-07-28,AAPL,REBAL,0.07407407407407407,0.037037037037037035,-0.037037037037037035
2016-07-29,AAPL,EXIT,0.037037037037037035,0.0,-0.037037037037037035
2016-08-30,AAPL,ENTRY,0.0,0.047619047619047616,0.047619047619047616
2016-09-02,AAPL,EXIT,0.047619047619047616,0.0,-0.047619047619047616
2017-04-11,AAPL,ENTRY,0.0,0.041666666666666664,0.041666666666666664
2017-04-17,AAPL,EXIT,0.041666666666666664,0.0,-0.041666666666666664
2017-09-08,AAPL,ENTRY,0.0,0.041666666666666664,0.041666666666666664
2017-09-13,AAPL,EXIT,0.041666666666666664,0.0,-0.041666666666666664
2017-09-25,AAPL,ENTRY,0.0,0.037037037037037035,0.037037037037037035
2017-09-28,AAPL,EXIT,0.037037037037037035,0.0,-0.037037037037037035
2018-01-24,AAPL,ENTRY,0.0,0.037037037037037035,0.037037037037037035
2018-01-25,AAPL,REBAL,0.037037037037037035,0.07407407407407407,0.037037037037037035
2018-01-29,AAPL,REBAL,0.07407407407407407,0.037037037037037035,-0.037037037037037035
2018-01-30,AAPL,REBAL,0.037037037037037035,0.03333333333333333,-0.003703703703703702
2018-02-02,AAPL,EXIT,0.03333333333333333,0.0,-0.03333333333333333
2018-11-05,AAPL,ENTRY,0.0,0.1111111111111111,0.1111111111111111
2018-11-08,AAPL,EXIT,0.1111111111111111,0.0,-0.1111111111111111
2019-01-03,AAPL,ENTRY,0.0,0.03333333333333333,0.03333333333333333
2019-01-08,AAPL,EXIT,0.03333333333333333,0.0,-0.03333333333333333
2020-04-20,AAPL,ENTRY,0.0,0.03333333333333333,0.03333333333333333
2020-04-21,AAPL,REBAL,0.03333333333333333,0.06666666666666667,0.03333333333333333
2020-04-23,AAPL,REBAL,0.06666666666666667,0.03333333333333333,-0.03333333333333333
2020-04-24,AAPL,EXIT,0.03333333333333333,0.0,-0.03333333333333333
2020-07-23,AAPL,ENTRY,0.0,0.03333333333333333,0.03333333333333333
2020-07-28,AAPL,EXIT,0.03333333333333333,0.0,-0.03333333333333333
2021-02-17,AAPL,ENTRY,0.0,0.03333333333333333,0.03333333333333333
2021-02-18,AAPL,REBAL,0.03333333333333333,0.07037037037037037,0.03703703703703704
2021-02-22,AAPL,REBAL,0.07037037037037037,0.037037037037037035,-0.03333333333333334
2021-02-23,AAPL,EXIT,0.037037037037037035,0.0,-0.037037037037037035
2021-02-25,AAPL,ENTRY,0.0,0.03333333333333333,0.03333333333333333
2021-03-02,AAPL,EXIT,0.03333333333333333,0.0,-0.03333333333333333
2021-03-30,AAPL,ENTRY,0.0,0.041666666666666664,0.041666666666666664
2021-04-05,AAPL,EXIT,0.041666666666666664,0.0,-0.041666666666666664
2021-04-30,AAPL,ENTRY,0.0,0.03333333333333333,0.03333333333333333
2021-05-05,AAPL,EXIT,0.03333333333333333,0.0,-0.03333333333333333
2021-05-28,AAPL,ENTRY,0.0,0.06666666666666667,0.06666666666666667
2021-06-01,AAPL,REBAL,0.06666666666666667,0.10833333333333334,0.04166666666666667
2021-06-03,AAPL,REBAL,0.10833333333333334,0.041666666666666664,-0.06666666666666668
2021-06-04,AAPL,EXIT,0.041666666666666664,0.0,-0.041666666666666664
2022-11-25,AAPL,ENTRY,0.0,0.08333333333333333,0.08333333333333333
2022-11-28,AAPL,REBAL,0.08333333333333333,0.11666666666666665,0.033333333333333326
2022-11-29,AAPL,REBAL,0.11666666666666665,0.15,0.03333333333333334
2022-11-30,AAPL,REBAL,0.15,0.06666666666666667,-0.08333333333333333
2022-12-01,AAPL,REBAL,0.06666666666666667,0.03333333333333333,-0.03333333333333333
2022-12-02,AAPL,EXIT,0.03333333333333333,0.0,-0.03333333333333333
2023-04-11,AAPL,ENTRY,0.0,0.041666666666666664,0.041666666666666664
2023-04-14,AAPL,EXIT,0.041666666666666664,0.0,-0.041666666666666664
2023-07-11,AAPL,ENTRY,0.0,0.041666666666666664,0.041666666666666664
2023-07-14,AAPL,EXIT,0.041666666666666664,0.0,-0.041666666666666664
